line,treatment,week,latency,duration,mating,first.l,first.d
M765,single,W4,14400,NA,0,6838,896
M900,single,W1,14400,NA,0,2027,898
M596,rival,W3,14400,NA,0,272,900
M26,single,W1,14400,NA,0,126,903
M392,rival,W2,14400,NA,0,408,909
M443,rival,W2,14400,NA,0,403,909
M765,rival,W1,14400,NA,0,3303,911
M765,rival,W6,14400,NA,0,1566,911
M217,rival,W5,14400,NA,0,1298,916
M26,rival,W6,14400,NA,0,799,926
M900,rival,W6,14400,NA,0,2515,929
M596,single,W6,14400,NA,0,332,930
M357,single,W3,14400,NA,0,270,932
M26,rival,W2,14400,NA,0,456,933
M239,single,W5,14400,NA,0,409,936
M217,rival,W2,14400,NA,0,430,939
M129,single,W2,14400,NA,0,2002,940
M502,single,W5,14400,NA,0,2524,948
M765,single,W6,14400,NA,0,4442,948
M371,single,W3,14400,NA,0,3439,949
M439,single,W6,14400,NA,0,6818,949
M703,rival,W3,14400,NA,0,551,951
M392,rival,W4,14400,NA,0,1833,951
M492,rival,W6,14400,NA,0,740,952
M502,single,W5,14400,NA,0,715,954
M843,rival,W5,14400,NA,0,1334,956
M379,rival,W2,14400,NA,0,410,957
M392,rival,W5,14400,NA,0,1241,959
M443,rival,W6,14400,NA,0,1174,962
M239,single,W1,14400,NA,0,515,967
M373,single,W3,14400,NA,0,1574,967
M443,single,W4,14400,NA,0,6788,974
M379,rival,W6,14400,NA,0,2872,977
M900,rival,W6,14400,NA,0,855,977
M26,rival,W4,14400,NA,0,511,981
M373,single,W2,14400,NA,0,485,987
M371,rival,W2,14400,NA,0,568,989
M371,rival,W5,14400,NA,0,677,989
M900,single,W6,14400,NA,0,797,990
M315,rival,W4,14400,NA,0,2162,991
M703,single,W2,14400,NA,0,667,997
M371,single,W6,14400,NA,0,799,1000
M129,rival,W5,14400,NA,0,1333,1003
M129,rival,W6,14400,NA,0,808,1009
M357,rival,W3,14400,NA,0,198,1012
M703,rival,W1,14400,NA,0,549,1018
M443,single,W6,14400,NA,0,2636,1020
M491,single,W6,14400,NA,0,690,1024
M239,rival,W2,14400,NA,0,290,1026
M502,rival,W5,14400,NA,0,2801,1028
M491,rival,W6,14400,NA,0,1946,1028
M502,rival,W2,14400,NA,0,553,1031
M843,rival,W5,14400,NA,0,594,1031
M765,single,W6,14400,NA,0,842,1031
M129,rival,W2,14400,NA,0,527,1032
M315,rival,W2,14400,NA,0,340,1036
M371,rival,W4,14400,NA,0,350,1042
M217,single,W6,14400,NA,0,2491,1044
M508,rival,W6,14400,NA,0,1316,1045
M492,rival,W4,14400,NA,0,995,1051
M399,single,W6,14400,NA,0,6228,1053
M843,single,W1,14400,NA,0,593,1059
M315,rival,W5,14400,NA,0,531,1063
M371,single,W1,14400,NA,0,443,1066
M502,single,W6,14400,NA,0,964,1068
M439,single,W3,14400,NA,0,1140,1074
M491,single,W4,14400,NA,0,1535,1076
M91,rival,W1,14400,NA,0,766,1078
M843,rival,W3,14400,NA,0,3857,1080
M195,rival,W5,14400,NA,0,3655,1081
M907,rival,W6,14400,NA,0,750,1082
M399,single,W5,14400,NA,0,2627,1085
M703,single,W2,14400,NA,0,4243,1086
M900,rival,W2,14400,NA,0,2175,1087
M195,rival,W5,14400,NA,0,4689,1087
M315,rival,W3,14400,NA,0,1733,1088
M907,rival,W5,14400,NA,0,488,1093
M596,single,W5,14400,NA,0,1300,1094
M907,rival,W1,14400,NA,0,386,1106
M703,single,W3,14400,NA,0,4132,1106
M91,single,W2,14400,NA,0,4683,1107
M371,rival,W2,14400,NA,0,886,1108
M195,single,W4,14400,NA,0,1257,1108
M379,single,W6,14400,NA,0,2965,1112
M491,single,W2,14400,NA,0,3942,1115
M399,rival,W6,14400,NA,0,985,1116
M439,single,W4,14400,NA,0,2677,1117
M195,single,W5,14400,NA,0,959,1122
M357,rival,W3,14400,NA,0,918,1123
M195,rival,W3,14400,NA,0,782,1124
M91,single,W3,14400,NA,0,161,1124
M492,rival,W2,14400,NA,0,511,1126
M91,single,W6,14400,NA,0,875,1129
M357,rival,W5,14400,NA,0,1573,1133
M492,single,W2,14400,NA,0,191,1135
M492,rival,W5,14400,NA,0,622,1136
M492,rival,W6,14400,NA,0,2049,1137
M239,single,W5,14400,NA,0,2510,1138
