female,day,line,offspring,treatment,pop,obs
137,W2,M395,106,single,iv,O609
126,W3,M395,106,rival,iv,O610
143,W3,M900,106,single,iv,O611
134,W4,M239,106,rival,iv,O612
150,W4,M395,106,rival,iv,O613
230,W4,M239,106,rival,iv,O614
237,W4,M703,106,single,iv,O615
227,W8,M900,106,single,iv,O616
132,W1,M900,107,rival,iv,O617
210,W2,M395,107,rival,iv,O618
141,W3,M703,107,single,iv,O619
157,W9,M239,107,single,iv,O620
136,W1,M315,108,rival,iv,O621
168,W1,M900,108,rival,iv,O622
227,W1,M900,108,single,iv,O623
162,W3,M395,108,rival,iv,O624
193,W5,M239,108,single,iv,O625
204,W6,M900,108,rival,iv,O626
150,W7,M395,108,rival,iv,O627
151,W7,M596,108,single,iv,O628
151,W8,M596,108,single,iv,O629
162,W1,M395,109,rival,iv,O630
181,W1,M239,109,single,iv,O631
199,W1,M596,109,single,iv,O632
139,W2,M596,109,single,iv,O633
146,W2,M239,109,rival,iv,O634
187,W2,M596,109,single,iv,O635
193,W3,M239,109,single,iv,O636
228,W3,M900,109,rival,iv,O637
151,W5,M596,109,single,iv,O638
231,W9,M315,109,single,iv,O639
147,W1,M315,110,single,iv,O640
172,W1,M315,110,rival,iv,O641
228,W1,M900,110,rival,iv,O642
164,W3,M596,110,rival,iv,O643
170,W3,M239,110,rival,iv,O644
121,W4,M239,110,single,iv,O645
194,W4,M239,110,rival,iv,O646
150,W5,M395,110,rival,iv,O647
150,W6,M395,110,rival,iv,O648
154,W6,M703,110,rival,iv,O649
183,W6,M315,110,single,iv,O650
125,W8,M395,110,single,iv,O651
177,W1,M703,111,single,iv,O652
238,W1,M703,111,rival,iv,O653
188,W2,M596,111,rival,iv,O654
235,W2,M596,111,single,iv,O655
240,W2,M900,111,rival,iv,O656
204,W3,M900,111,rival,iv,O657
143,W4,M900,111,single,iv,O658
234,W4,M395,111,rival,iv,O659
184,W6,M315,111,rival,iv,O660
180,W7,M900,111,rival,iv,O661
148,W1,M315,112,rival,iv,O662
171,W1,M315,112,single,iv,O663
174,W1,M395,112,rival,iv,O664
180,W1,M900,112,rival,iv,O665
145,W2,M239,112,single,iv,O666
166,W2,M703,112,rival,iv,O667
168,W2,M900,112,rival,iv,O668
179,W2,M900,112,single,iv,O669
